,,,,,,,,,,,,,,,,,,,,
,SUMMARY,,,,,,,,,20,trading days,,,,,,,,,
Wins,0,avg - loss,#DIV/0!,,Monday 3/2,Thursday 3/5,Friday 3/6,,,,,,,,,,,,,
Losses,0,total trades,0,,-$52.00,$0.00,$0.00,,,,,,,,,,,,,
avg - win,#DIV/0!,EV,#DIV/0!,,0,0,0,,,11,days passed,,,,,,,,,
Win rate,#DIV/0!,R:R ratio,#DIV/0!,,Monday 3/9,Tuesday 3/10,Wednesday 3/11,Thursday 3/12,Friday 3/13,45.00%,% days left,,,,,,,,,
,,,,,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,
,Month Summary,,,,0,0,0,0,0,,,,,,,,,,,
WIN days,0,PnL,$0.00,,Monday 3/16,Tuesday 3/17,Wednesday 3/18,Thursday 3/19,Friday 3/20,,,,,,,,,,,
Loss days,11,starting value,$331.00,,$0.00,$0.00,$0.00,,,,,,,,,,,,,
avg win day ,#DIV/0!,current value,$331.00,,0,0,0,,,,,,,,,,,,,
avg loss day,-$4.73,% gained,0.00%,,Monday 3/23,Tuesday 3/24,Wednesday 3/25,Thursday 3/26,Friday 3/27,Monday 3/30,Tuesday 3/31,,,,,,,,,
day r:r,#DIV/0!,target ending value,"$13,912.47",,,,,,,,,,,,,,,,,
,% of the way there,,2.38%,,,,,,,,,,,,,,,,,
,,,,,,total ,wins,W %,OTS?,ATM,ITM,OTM,< WINS,,,,,,,
IMPROVEMENTS (COST of no stop loss),$0.00,,,,puts,0.00,0.00,#DIV/0!,0.00,0,0,0,,,,,,,,
,,,,,calls,0.00,0.00,#DIV/0!,0.00,0.00,0.00,0.00,< TOTAL,,,,,,,
,"monkey see , monkey do. the current trend is to sell the news",,,,SWINGS,0.00,0.00,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
date,Monday 3/2,,Thursday 3/5,,Friday 3/6,,,Monday 3/9,,Tuesday 3/10,,Wednesday 3/11,,,Thursday 3/12,,,Friday 3/13,Monday 3/16,
time of entry,,,,,,,,,,,,,,,,,,,,
ticker,,,,,,,,,,,,,,,,,,,,
pricerange,,,,,,,,,,,,,,,,,,,,
IMPL VOL,,,,,,,,,,,,,,,,,,,,
entry,,,,,,,,,,,,,,,,,,,,
INTRADAY support ,,,,,,,,,,,,,,,,,,,,
INTRADAY resistance,,,,,,,,,,,,,,,,,,,,
DAILY break out level,,,,,,,,,,,,,,,,,,,,
DAILY break down levels,,,,,,,,,,,,,,,,,,,,
ENTRY POINT,,,,,,,,,,,,,,,,,,,,
select,,,,,,,,,,,,,,,,,,,,
exit,,,,,,,,,,,,,,,,,,,,
time of exit,,,,,,,,,,,,,,,,,,,,
IMPL VOL,,,,,,,,,,,,,,,,,,,,
sharesize,,,,,,,,,,,,,,,,,,,,
max loss,,,,,,,,,,,,,,,,,,,,
exp date,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
notes / news,,,,,,,,,,,,,,,,,,,,
daily trend,,,,,,,,,,,,,,,,,,,,
success,,,,,,,,,,,,,,,,,,,,
mistakes,,,,,,,,,,,,,,,,,,,,
exiting too soon (profits),,,,,,,,,,,,,,,,,,,,
time of potential,,,,,,,,,,,,,,,,,,,,
minutes of potential,,,,,,,,,,,,,,,,,,,,
R ,,,,,,,,,,,,,,,,,,,,
w/l,,,,,,,,,,,,,,,,,,,,
tag,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
my mindset,,,,,,,,,,,,,,,,,,,,
grade,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
meditation,,,,,,,,,,,,,,,,,,,,
took 30 min breaks,,,,,,,,,,,,,,,,,,,,
followed stop-loss,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ticker,,,,,,,,,,,,,,,,,,,,
share avail,,,,,,,,,,,,,,,,,,,,
% insitut,,,,,,,,,,,,,,,,,,,,
% short,,,,,,,,,,,,,,,,,,,,
shares shorted,,,,,,,,,,,,,,,,,,,,
previous month shares shorted,,,,,,,,,,,,,,,,,,,,
general news,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
P/L,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
sum of total over -$50,$0.00,,,,,,actual losses,,,,,,,,,,,,,
count of total over -$50,0,,,,total losses * x,$0.00,$0.00,,,,,,,,,,,,,
difference of sum over 50 - (count * 50 ),$0.00,0,,,total $ wins,$0.00,$0.00,,,,,,,,,,,,,
,,,,,amount gained,$0.00,$0.00,,,,,,,,,,,,,
trades that are -1 R,0,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,$300.00,$300.00,$300.00,$300.00,$200.00,$200.00,$200.00,$200.00,$200.00,$200.00,$200.00,$200.00,$200.00,$200.00,$200.00,$200.00,$200.00,$200.00,$200.00,$200.00
sim of stops,$0.00,$0.00,$0.00,-$100.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ACTUALS,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
starting number ,$200,,,,,,,,,,,,,,,,,,,
running account value,$200.00,$200.00,$200.00,$200.00,$200.00,$200.00,$200.00,$200.00,$200.00,$200.00,$200.00,$200.00,$200.00,$200.00,$200.00,$200.00,$200.00,$200.00,$200.00,$200.00